Fecha,Superior,Regular,Diesel,GasLicuado
01/2021,21.91,21.11,17.61,99.0
01/2021,21.91,21.11,17.61,99.0
01/2021,21.91,21.11,17.61,99.0
01/2021,21.91,21.11,17.61,99.0
01/2021,21.91,21.11,17.61,99.0
01/2021,21.91,21.11,17.61,99.0
01/2021,21.91,21.11,17.61,99.0
01/2021,21.91,21.11,17.61,99.0
01/2021,21.91,21.11,17.61,99.0
01/2021,21.91,21.11,17.61,99.0
01/2021,22.39,21.59,17.69,99.0
01/2021,22.39,21.59,17.69,99.0
01/2021,22.39,21.59,17.69,101.67
01/2021,22.39,21.59,17.69,101.67
01/2021,22.39,21.59,17.69,101.67
01/2021,22.39,21.59,17.69,107.0
01/2021,22.39,21.59,17.69,107.0
01/2021,23.21,22.41,18.3,107.0
01/2021,23.21,22.41,18.3,107.0
01/2021,23.21,22.41,18.3,110.0
01/2021,23.21,22.41,18.3,110.0
01/2021,23.21,22.41,18.3,110.0
01/2021,23.21,22.41,18.3,116.0
01/2021,23.21,22.41,18.3,116.0
01/2021,23.44,22.64,18.47,116.0
01/2021,23.44,22.64,18.47,116.0
01/2021,23.44,22.64,18.47,116.0
01/2021,23.44,22.64,18.47,116.0
01/2021,23.44,22.64,18.47,116.0
01/2021,23.44,22.64,18.47,116.0
01/2021,23.44,22.64,18.47,116.0
02/2021,23.57,22.77,18.57,116.0
02/2021,23.57,22.77,18.57,116.0
02/2021,23.57,22.77,18.57,116.0
02/2021,23.57,22.77,18.57,116.0
02/2021,23.57,22.77,18.57,116.0
02/2021,23.57,22.77,18.57,116.0
02/2021,23.57,22.77,18.57,116.0
02/2021,23.98,23.18,18.98,116.0
02/2021,23.98,23.18,18.98,116.0
02/2021,23.98,23.18,18.98,116.0
02/2021,23.98,23.18,18.98,116.0
02/2021,23.98,23.18,18.98,116.0
02/2021,23.98,23.18,18.98,116.0
02/2021,23.98,23.18,18.98,116.0
02/2021,24.39,23.59,19.79,116.0
02/2021,24.39,23.59,19.79,116.0
02/2021,24.39,23.59,19.79,116.0
02/2021,24.39,23.59,19.79,116.0
02/2021,24.39,23.59,19.79,116.0
02/2021,24.39,23.59,19.79,116.0
02/2021,24.39,23.59,19.79,116.0
02/2021,25.1,24.3,20.5,116.0
02/2021,25.1,24.3,20.5,116.0
02/2021,25.1,24.3,20.5,116.0
02/2021,25.1,24.3,20.5,116.0
02/2021,25.1,24.3,20.5,116.0
02/2021,25.1,24.3,20.5,116.0
02/2021,25.1,24.3,20.5,116.0
03/2021,25.85,25.05,20.86,116.0
03/2021,25.85,25.05,20.86,116.0
03/2021,25.85,25.05,20.86,116.0
03/2021,25.85,25.05,20.86,116.0
03/2021,25.85,25.05,20.86,116.0
03/2021,25.85,25.05,20.86,116.0
03/2021,25.85,25.05,20.86,116.0
03/2021,26.6,25.81,21.31,116.0
03/2021,26.6,25.81,21.31,116.0
03/2021,26.6,25.81,21.31,116.0
03/2021,26.6,25.81,21.31,118.0
03/2021,26.6,25.81,21.31,120.0
03/2021,26.6,25.81,21.31,120.0
03/2021,26.6,25.81,21.31,120.0
03/2021,27.27,26.47,21.68,120.0
03/2021,27.27,26.47,21.68,120.0
03/2021,27.27,26.47,21.68,120.0
03/2021,27.27,26.47,21.68,120.0
03/2021,27.27,26.47,21.68,120.0
03/2021,27.27,26.47,21.68,120.0
03/2021,27.27,26.47,21.68,120.0
03/2021,27.02,26.22,21.41,120.0
03/2021,27.02,26.22,21.41,120.0
03/2021,27.02,26.22,21.41,120.0
03/2021,27.02,26.22,21.41,120.0
03/2021,27.02,26.22,21.41,120.0
03/2021,27.02,26.22,21.41,120.0
03/2021,27.02,26.22,21.41,120.0
03/2021,26.35,25.56,20.8,120.0
03/2021,26.35,25.56,20.8,120.0
03/2021,26.35,25.56,20.8,120.0
04/2021,26.35,25.56,20.8,120.0
04/2021,26.35,25.56,20.8,120.0
04/2021,26.35,25.56,20.8,120.0
04/2021,26.35,25.56,20.8,120.0
04/2021,26.45,25.66,20.71,120.0
04/2021,26.45,25.66,20.71,120.0
04/2021,26.45,25.66,20.71,120.0
04/2021,26.45,25.66,20.71,120.0
04/2021,26.45,25.66,20.71,120.0
04/2021,26.45,25.66,20.71,120.0
04/2021,26.45,25.66,20.71,120.0
04/2021,26.97,26.17,20.43,120.0
04/2021,26.97,26.17,20.43,120.0
04/2021,26.97,26.17,20.43,120.0
04/2021,26.97,26.17,20.43,120.0
04/2021,26.97,26.17,20.43,120.0
04/2021,26.97,26.17,20.43,120.0
04/2021,26.97,26.17,20.43,120.0
04/2021,27.0,26.2,20.59,120.0
04/2021,27.0,26.2,20.59,120.0
04/2021,27.0,26.2,20.59,120.0
04/2021,27.0,26.2,20.59,120.0
04/2021,27.0,26.2,20.59,120.0
04/2021,27.0,26.2,20.59,120.0
04/2021,27.0,26.2,20.59,120.0
04/2021,27.27,26.49,20.87,120.0
04/2021,27.27,26.49,20.87,120.0
04/2021,27.27,26.49,20.87,120.0
04/2021,27.27,26.49,20.87,120.0
04/2021,27.27,26.49,20.87,120.0
05/2021,27.27,26.49,20.87,120.0
05/2021,27.27,26.49,20.87,120.0
05/2021,27.29,26.49,21.12,120.0
05/2021,27.29,26.49,21.12,120.0
05/2021,27.29,26.49,21.12,120.0
05/2021,27.29,26.49,21.12,120.0
05/2021,27.29,26.49,21.12,120.0
05/2021,27.29,26.49,21.12,120.0
05/2021,27.29,26.49,21.12,120.0
05/2021,27.89,27.09,21.79,120.0
05/2021,27.89,27.09,21.79,120.0
05/2021,27.89,27.09,21.79,120.0
05/2021,27.89,27.09,21.79,120.0
05/2021,27.89,27.09,21.79,120.0
05/2021,27.89,27.09,21.79,120.0
05/2021,27.89,27.09,21.79,120.0
05/2021,27.9,27.09,21.79,120.0
05/2021,27.9,27.09,21.79,120.0
05/2021,27.9,27.09,21.79,120.0
05/2021,27.9,27.09,21.79,120.0
05/2021,27.9,27.09,21.79,120.0
05/2021,27.9,27.09,21.79,120.0
05/2021,27.9,27.09,21.79,120.0
05/2021,27.88,27.08,21.78,120.0
05/2021,27.88,27.08,21.78,120.0
05/2021,27.88,27.08,21.78,120.0
05/2021,27.88,27.08,21.78,120.0
05/2021,27.88,27.08,21.78,120.0
05/2021,27.88,27.08,21.78,120.0
05/2021,27.88,27.08,21.78,120.0
05/2021,28.01,27.22,22.29,120.0
06/2021,28.01,27.22,22.29,120.0
06/2021,28.01,27.22,22.29,120.0
06/2021,28.01,27.22,22.29,120.0
06/2021,28.01,27.22,22.29,120.0
06/2021,28.01,27.22,22.29,120.0
06/2021,28.01,27.22,22.29,120.0
06/2021,27.99,27.2,22.58,120.0
06/2021,27.99,27.2,22.58,120.0
06/2021,27.99,27.2,22.58,120.0
06/2021,27.99,27.2,22.58,120.0
06/2021,27.99,27.2,22.58,120.0
06/2021,27.99,27.2,22.58,120.0
06/2021,27.99,27.2,22.58,120.0
06/2021,28.19,27.4,22.7,120.0
06/2021,28.19,27.4,22.7,120.0
06/2021,28.19,27.4,22.7,120.0
06/2021,28.19,27.4,22.7,120.0
06/2021,28.19,27.4,22.7,120.0
06/2021,28.19,27.4,22.7,120.0
06/2021,28.19,27.4,22.7,120.0
06/2021,27.68,26.86,21.88,120.0
06/2021,27.68,26.86,21.88,120.0
06/2021,27.68,26.86,21.88,120.0
06/2021,27.68,26.86,21.88,120.0
06/2021,27.68,26.86,21.88,120.0
06/2021,27.68,26.86,21.88,120.0
06/2021,27.68,26.86,21.88,120.0
06/2021,27.68,26.86,21.88,120.0
06/2021,27.6,26.8,21.81,120.0
06/2021,27.6,26.8,21.81,120.0
07/2021,27.6,26.8,21.81,120.0
07/2021,27.6,26.8,21.81,120.0
07/2021,27.6,26.8,21.81,120.0
07/2021,27.6,26.8,21.81,120.0
07/2021,28.78,27.98,22.97,120.0
07/2021,28.78,27.98,22.97,120.0
07/2021,28.78,27.98,22.97,120.0
07/2021,28.78,27.98,22.97,120.0
07/2021,28.78,27.98,22.97,120.0
07/2021,28.78,27.98,22.97,120.0
07/2021,28.78,27.98,22.97,120.0
07/2021,28.64,27.84,22.82,120.0
07/2021,28.64,27.84,22.82,120.0
07/2021,28.64,27.84,22.82,120.0
07/2021,28.64,27.84,22.82,120.0
07/2021,28.64,27.84,22.82,120.0
07/2021,28.64,27.84,22.82,120.0
07/2021,28.64,27.84,22.82,120.0
07/2021,28.34,27.54,22.55,120.0
07/2021,28.34,27.54,22.55,120.0
07/2021,28.34,27.54,22.55,120.0
07/2021,28.34,27.54,22.55,120.0
07/2021,28.34,27.54,22.55,120.0
07/2021,28.34,27.54,22.55,120.0
07/2021,28.34,27.54,22.55,120.0
07/2021,28.09,27.29,22.1,120.0
07/2021,28.09,27.29,22.1,120.0
07/2021,28.09,27.29,22.1,120.0
07/2021,28.09,27.29,22.1,120.0
07/2021,28.09,27.29,22.1,120.0
07/2021,28.09,27.29,22.1,120.0
08/2021,28.09,27.29,22.1,120.0
08/2021,29.1,28.28,23.1,120.0
08/2021,29.1,28.28,23.1,120.0
08/2021,29.1,28.28,23.1,120.0
08/2021,29.1,28.28,23.1,120.0
08/2021,29.1,28.28,23.1,120.0
08/2021,29.1,28.28,23.1,120.0
08/2021,29.1,28.28,23.1,120.0
08/2021,29.09,28.27,23.09,120.0
08/2021,29.09,28.27,23.09,120.0
08/2021,29.09,28.27,23.09,120.0
08/2021,29.09,28.27,23.09,120.0
08/2021,29.09,28.27,23.09,120.0
08/2021,29.09,28.27,23.09,120.0
08/2021,29.09,28.27,23.09,120.0
08/2021,29.09,28.27,23.09,120.0
08/2021,28.8,28.0,22.8,120.0
08/2021,28.8,28.0,22.8,120.0
08/2021,28.8,28.0,22.8,120.0
08/2021,28.8,28.0,22.8,120.0
08/2021,28.8,28.0,22.8,120.0
08/2021,28.8,28.0,22.8,120.0
08/2021,28.79,27.99,22.79,120.0
08/2021,28.79,27.99,22.79,120.0
08/2021,28.79,27.99,22.79,120.0
08/2021,28.79,27.99,22.79,120.0
08/2021,28.79,27.99,22.79,120.0
08/2021,28.79,27.99,22.79,120.0
08/2021,28.79,27.99,22.79,120.0
08/2021,28.79,27.99,22.79,120.0
08/2021,28.79,27.99,22.79,120.0
09/2021,28.79,27.99,22.79,120.0
09/2021,28.79,27.99,22.79,120.0
09/2021,28.79,27.99,22.79,120.0
09/2021,28.79,27.99,22.79,120.0
09/2021,28.79,27.99,22.79,120.0
09/2021,29.11,28.4,23.2,120.0
09/2021,29.11,28.4,23.2,120.0
09/2021,29.11,28.4,23.2,120.0
09/2021,29.11,28.4,23.2,120.0
09/2021,29.11,28.4,23.2,120.0
09/2021,29.11,28.4,23.2,120.0
09/2021,29.11,28.4,23.2,120.0
09/2021,29.08,28.4,23.47,120.0
09/2021,29.08,28.4,23.47,120.0
09/2021,29.08,28.4,23.47,120.0
09/2021,29.08,28.4,23.47,120.0
09/2021,29.08,28.4,23.47,120.0
09/2021,29.08,28.4,23.47,120.0
09/2021,29.08,28.4,23.47,120.0
09/2021,29.27,28.58,23.77,126.0
09/2021,29.27,28.58,23.77,126.0
09/2021,29.27,28.58,23.77,126.0
09/2021,29.27,28.58,23.77,129.0
09/2021,29.27,28.58,23.77,129.0
09/2021,29.27,28.58,23.77,129.0
09/2021,29.27,28.58,23.77,129.0
09/2021,29.29,28.59,23.79,129.0
09/2021,29.29,28.59,23.79,129.0
09/2021,29.29,28.59,23.79,129.0
09/2021,29.29,28.59,23.79,132.0
10/2021,29.29,28.59,23.79,132.0
10/2021,29.29,28.59,23.79,132.0
10/2021,29.29,28.59,23.79,132.0
10/2021,29.01,28.3,24.48,132.0
10/2021,29.01,28.3,24.48,132.0
10/2021,29.01,28.3,24.48,132.0
10/2021,29.01,28.3,24.48,132.0
10/2021,29.01,28.3,24.48,132.0
10/2021,29.01,28.3,24.48,132.0
10/2021,29.01,28.3,24.48,132.0
10/2021,29.98,29.28,25.41,132.0
10/2021,29.98,29.28,25.41,132.0
10/2021,29.98,29.28,25.41,132.0
10/2021,29.98,29.28,25.41,132.0
10/2021,29.98,29.28,25.41,132.0
10/2021,29.98,29.28,25.41,132.0
10/2021,29.98,29.28,25.41,132.0
10/2021,29.97,29.28,25.44,132.0
10/2021,29.97,29.28,25.44,132.0
10/2021,29.97,29.28,25.44,132.0
10/2021,29.97,29.28,25.44,132.0
10/2021,29.97,29.28,25.44,132.0
10/2021,29.97,29.28,25.44,132.0
10/2021,29.97,29.28,25.44,132.0
10/2021,30.98,30.28,26.49,132.0
10/2021,30.98,30.28,26.49,132.0
10/2021,30.98,30.28,26.49,132.0
10/2021,30.98,30.28,26.49,132.0
10/2021,30.98,30.28,26.49,132.0
10/2021,30.98,30.28,26.49,132.0
10/2021,30.98,30.28,26.49,132.0
11/2021,30.98,30.28,26.49,138.67
11/2021,30.98,30.28,26.48,138.67
11/2021,30.98,30.28,26.48,138.67
11/2021,30.98,30.28,26.48,138.67
11/2021,30.98,30.28,26.48,138.67
11/2021,30.98,30.28,26.48,138.67
11/2021,30.98,30.28,26.48,138.67
11/2021,30.99,30.3,26.49,138.67
11/2021,30.99,30.3,26.49,138.67
11/2021,30.99,30.3,26.49,138.67
11/2021,30.99,30.3,26.49,138.67
11/2021,30.99,30.3,26.49,138.67
11/2021,30.99,30.3,26.49,138.67
11/2021,30.99,30.3,26.49,138.67
11/2021,30.63,29.93,26.12,138.67
11/2021,30.63,29.93,26.12,138.67
11/2021,30.63,29.93,26.12,138.67
11/2021,30.63,29.93,26.12,138.67
11/2021,30.63,29.93,26.12,138.67
11/2021,30.63,29.93,26.12,138.67
11/2021,30.63,29.93,26.12,138.67
11/2021,30.01,29.32,25.7,138.67
11/2021,30.01,29.32,25.7,138.67
11/2021,30.01,29.32,25.7,138.67
11/2021,30.01,29.32,25.7,138.67
11/2021,30.01,29.32,25.7,138.67
11/2021,30.01,29.32,25.7,138.67
11/2021,30.01,29.32,25.7,138.67
11/2021,29.78,29.07,25.33,138.67
11/2021,29.78,29.07,25.33,138.67
12/2021,29.78,29.07,25.33,122.0
12/2021,29.78,29.07,25.33,122.0
12/2021,29.78,29.07,25.33,122.0
12/2021,29.78,29.07,25.33,122.0
12/2021,29.78,29.07,25.33,122.0
12/2021,28.82,28.1,24.36,122.0
12/2021,28.82,28.1,24.36,122.0
12/2021,28.82,28.1,24.36,122.0
12/2021,28.82,28.1,24.36,122.0
12/2021,28.82,28.1,24.36,122.0
12/2021,28.82,28.1,24.36,122.0
12/2021,28.82,28.1,24.36,122.0
12/2021,28.78,28.06,24.28,122.0
12/2021,28.78,28.06,24.28,122.0
12/2021,28.78,28.06,24.28,122.0
12/2021,28.78,28.06,24.28,122.0
12/2021,28.78,28.06,24.28,122.0
12/2021,28.78,28.06,24.28,122.0
12/2021,28.78,28.06,24.28,122.0
12/2021,28.78,28.06,24.28,122.0
12/2021,28.78,28.06,24.28,122.0
12/2021,28.78,28.06,24.28,122.0
12/2021,28.78,28.06,24.28,122.0
12/2021,28.78,28.06,24.28,122.0
12/2021,28.78,28.06,24.28,122.0
12/2021,28.78,28.06,24.28,122.0
12/2021,28.69,27.91,24.51,122.0
12/2021,28.69,27.91,24.51,122.0
12/2021,28.69,27.91,24.51,122.0
12/2021,28.69,27.91,24.51,122.0
12/2021,28.69,27.91,24.51,122.0
01/2022,28.69,27.91,24.51,122.0
01/2022,28.69,27.91,24.51,122.0
01/2022,28.79,27.99,24.6,122.0
01/2022,28.79,27.99,24.6,122.0
01/2022,28.79,27.99,24.6,122.0
01/2022,28.79,27.99,24.6,122.0
01/2022,28.79,27.99,24.6,122.0
01/2022,28.79,27.99,24.6,122.0
01/2022,28.79,27.99,24.6,122.0
01/2022,29.65,28.85,25.46,122.0
01/2022,29.65,28.85,25.46,122.0
01/2022,29.65,28.85,25.46,122.0
01/2022,29.65,28.85,25.46,122.0
01/2022,29.65,28.85,25.46,122.0
01/2022,29.65,28.85,25.46,122.0
01/2022,29.65,28.85,25.46,122.0
01/2022,30.49,29.69,26.49,122.0
01/2022,30.49,29.69,26.49,122.0
01/2022,30.49,29.69,26.49,122.0
01/2022,30.49,29.69,26.49,122.0
01/2022,30.49,29.69,26.49,122.0
01/2022,30.49,29.69,26.49,122.0
01/2022,30.49,29.69,26.49,122.0
01/2022,31.49,30.69,27.49,122.0
01/2022,31.49,30.69,27.49,122.0
01/2022,31.49,30.69,27.49,122.0
01/2022,31.49,30.69,27.49,122.0
01/2022,31.49,30.69,27.49,122.0
01/2022,31.49,30.69,27.49,122.0
01/2022,31.49,30.69,27.49,122.0
01/2022,31.5,30.69,27.98,122.0
02/2022,31.5,30.69,27.98,122.0
02/2022,31.5,30.69,27.98,122.0
02/2022,31.5,30.69,27.98,122.0
02/2022,31.5,30.69,27.98,122.0
02/2022,31.5,30.69,27.98,122.0
02/2022,31.5,30.69,27.98,122.0
02/2022,32.19,32.39,28.58,122.0
02/2022,32.19,32.39,28.58,122.0
02/2022,32.19,32.39,28.58,122.0
02/2022,32.19,32.39,28.58,122.0
02/2022,32.19,32.39,28.58,122.0
02/2022,32.19,32.39,28.58,122.0
02/2022,32.19,32.39,28.58,122.0
02/2022,32.22,31.42,28.61,122.0
02/2022,32.22,31.42,28.61,122.0
02/2022,32.22,31.42,28.61,122.0
02/2022,32.22,31.42,28.61,122.0
02/2022,32.22,31.42,28.61,122.0
02/2022,32.22,31.42,28.61,122.0
02/2022,32.22,31.42,28.61,122.0
02/2022,33.5,32.7,29.88,122.0
02/2022,33.5,32.7,29.88,122.0
02/2022,33.5,32.7,29.88,122.0
02/2022,33.5,32.7,29.88,122.0
02/2022,33.5,32.7,29.88,122.0
02/2022,33.5,32.7,29.88,122.0
02/2022,33.5,32.7,29.88,122.0
02/2022,33.88,33.29,30.09,122.0
03/2022,33.88,33.29,30.09,142.0
03/2022,33.88,33.29,30.09,142.0
03/2022,35.99,35.39,33.09,142.0
03/2022,35.99,35.39,33.09,142.0
03/2022,35.99,35.39,33.09,142.0
03/2022,35.99,35.39,33.09,142.0
03/2022,37.98,37.39,36.09,142.0
03/2022,37.98,37.39,36.09,142.0
03/2022,39.99,39.42,40.25,147.0
03/2022,39.99,39.42,40.25,147.0
03/2022,39.99,39.42,40.25,147.0
03/2022,39.99,39.42,40.25,147.0
